Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Owned By,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status
134595285,View All Booking History,@booking,3,28-Nov-16,3-Dec-16,feature,2,accepted,18-Nov-16,3-Dec-16,,KYLIM,The customers can view all the booking history where booking status is complete.,https://www.pivotaltracker.com/story/show/134595285,KYLIM,create database,completed,create ui,completed,retrieve all booking where booking status is complete,completed,display all booking in table form,completed,,,,,,,,,,,,,,,,,,
136127255,View All Bus Detail,@bus,3,28-Nov-16,3-Dec-16,feature,2,accepted,18-Nov-16,3-Dec-16,,John,This sub-module will allow the user to search the bus details by using the bus number plate.,https://www.pivotaltracker.com/story/show/136127255,John,create database,completed,create ui,completed,retrieve all bus,completed,display all bus in table form,completed,,,,,,,,,,,,,,,,,,
134596999,View All Bus Schedule,@busschedule,3,28-Nov-16,3-Dec-16,feature,2,accepted,18-Nov-16,3-Dec-16,,Lee Xing Yi,The staff can view all the bus schedule details with the sort function.,https://www.pivotaltracker.com/story/show/134596999,Lee Xing Yi,create database,completed,create ui,completed,retrieve all bus schedule,completed,display all bus schedule in table form,completed,,,,,,,,,,,,,,,,,,
134596161,View All Staff Details,@staff,3,28-Nov-16,3-Dec-16,feature,2,accepted,18-Nov-16,3-Dec-16,,Lim Zhen Ming,The manager can view all the staff information who work in the company.,https://www.pivotaltracker.com/story/show/134596161,Lim Zhen Ming,create database,completed,create ui,completed,retrieve all staff,completed,display all staff in table form,completed,,,,,,,,,,,,,,,,,,
134595763,Add New Staff,@staff,3,5-Dec-16,10-Dec-16,feature,2,accepted,18-Nov-16,10-Dec-16,,Lim Zhen Ming,The manager can add the new staff into the database.,https://www.pivotaltracker.com/story/show/134595763,Lim Zhen Ming,create database,completed,create ui,completed,connect database and ui to add records,completed,verify the data which is not duplicate such as staff IC number,completed,add staff name,completed,add staff ic,completed,add staff email,completed,add staff birthday,completed,add staff contact number,completed,,,,,,,,
136127049,Add New Bus,@bus,3,5-Dec-16,10-Dec-16,feature,2,accepted,18-Nov-16,10-Dec-16,,John,This module will allow the user to add new bus information into the database.,https://www.pivotaltracker.com/story/show/136127049,John,create database,completed,create ui,completed,add bus plate number,completed,add bus type,completed,add bus status,completed,add bus model,completed,add bus total seat,completed,add bus purchase date,completed,,,,,,,,,,
134596519,Add New Bus Schedule ,@busschedule,3,5-Dec-16,10-Dec-16,feature,2,accepted,18-Nov-16,10-Dec-16,,Lee Xing Yi,The staff can add the new bus schedule into the database.,https://www.pivotaltracker.com/story/show/134596519,Lee Xing Yi,create database,completed,create ui,completed,connect database and ui to add records,completed,verify the departure place and location cannot be same,completed,add schedule departure date,completed,add schedule departure time,completed,add schedule departure place,completed, add destination,completed,add schedule price,completed,assign bus,completed,,,,,,
136478867,Add New Booking,"@booking, @busschedule",3,5-Dec-16,10-Dec-16,feature,2,accepted,18-Nov-16,10-Dec-16,,LIM KIAN WEI,The customers can make booking based on the bus schedule they selected.,https://www.pivotaltracker.com/story/show/136478867,,create database,completed,create ui,completed,connect database and ui to add records,completed,retrieve schedule,completed,add booking date,completed,add quantity of seat,completed,add seat number,completed,,,,,,,,,,,,
134595453,Add New Payment,"@booking, @payment",3,5-Dec-16,10-Dec-16,feature,2,accepted,18-Nov-16,10-Dec-16,,KYLIM,The customers can make payment once confirm the booking details. ,https://www.pivotaltracker.com/story/show/134595453,KYLIM,create database,completed,create ui,completed,retrieve booking details,completed,create new payment and update to the database,completed,verify the payment details which is entered by the customers,completed,add payment date,completed,add payment type,completed,add payment amount,completed,add card number,completed,add card holder name,completed,add card expiry date,completed,add card type,completed,add card bank,completed
134595991,Update Staff,@staff,3,12-Dec-16,17-Dec-16,feature,2,accepted,18-Nov-16,17-Dec-16,,Lim Zhen Ming,"The manager can update the staff details such as address, hand phone number, email address, etc. ",https://www.pivotaltracker.com/story/show/134595991,Lim Zhen Ming,create database,completed,create ui,completed,retrieve staff,completed,connect database and ui to update records,completed,update email,completed,update contact number,completed,,,,,,,,,,,,,,
